cell_number,character_count,line_count,single_hashes,double_hashes,triple_hashes,quadruple_hashes
1,518,9,2,1,0,0
2,77,2,0,0,1,0
3,12,1,0,0,1,0
5,12,1,0,0,1,0
7,12,1,0,0,1,0
9,13,1,0,0,1,0
11,13,1,0,0,1,0
13,27,1,0,1,0,0
14,452,7,0,0,0,0
17,146,2,0,0,1,0
18,38,1,0,0,0,0
20,1130,30,1,0,4,0
23,187,3,0,0,1,0
25,225,1,0,0,0,0
26,395,2,0,0,1,0
29,34,2,0,0,1,0
31,135,2,0,0,1,0
32,47,1,1,0,0,0
33,418,5,0,0,0,0
34,337,6,0,0,1,0
48,140,1,1,0,0,0
49,12,1,0,0,1,0
51,12,1,0,0,1,0
53,12,1,0,0,1,0
55,12,1,0,0,1,0
57,12,1,0,0,1,0
59,12,1,0,0,1,0
